source,target,status,preserve_query_string,include_subdomains,subpath_matching,wildcard
https://www.findmyisland.com/profiles/wd-Q24659667.html,https://www.findmyisland.com/islands/england/aldeburgh-ridge/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=wd-Q24659667,https://www.findmyisland.com/islands/england/aldeburgh-ridge/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-relation-12913146.html,https://www.findmyisland.com/islands/crown-dependencies/alderney/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-relation-12913146,https://www.findmyisland.com/islands/crown-dependencies/alderney/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-1116340578.html,https://www.findmyisland.com/islands/england/alfies-island/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-1116340578,https://www.findmyisland.com/islands/england/alfies-island/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-60437249.html,https://www.findmyisland.com/islands/scotland/alices-bower/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-60437249,https://www.findmyisland.com/islands/scotland/alices-bower/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-4559337.html,https://www.findmyisland.com/islands/ireland/allagh-island/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-4559337,https://www.findmyisland.com/islands/ireland/allagh-island/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-858243714.html,https://www.findmyisland.com/islands/ireland/allahan/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=osm-way-858243714,https://www.findmyisland.com/islands/ireland/allahan/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/allens-rock.html,https://www.findmyisland.com/islands/england/allens-rock/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/?island=allens-rock,https://www.findmyisland.com/islands/england/allens-rock/,301,FALSE,FALSE,FALSE,FALSE
https://www.findmyisland.com/profiles/osm-way-112156376.html,https://www.findmyisland.com/islands/northern-ireland/allinghams-island/,301,FALSE,FALSE,FALSE,FALSE
